content,注释,解说,喻,audio file uuid,page,tag
后九蜀寒拆九寒，后九无寒节节寒。,"①、后九：即“拗九”，指正月二十九，这是福州的一个传统节日，称“后九节”，据说与目莲救母的故事有关，这一天家家户户用糯米、红糖、花生、桂圆等煮“后九粥”，类似于北方的“腊八粥”。亲友中有年龄逢“九”或九的倍数的，则赠以甜粥、鸭蛋等为之祝福。

②、拆：抵得上。

③、九寒：是随后的诸“寒”，如后九寒、清明寒、谷雨寒等，其中后九寒是第一次春寒，也是最冷的。如果后九节前后没有冷空气，预示该年春季的冷空气将十分频繁。在这里，“九”是虚数。",,,450b6e48-a25c-4f06-bc47-244fd5a48861,13,天气节令
清明谷雨，寒死老鼠。,"①、寒死：冻死。

②、",清明、谷雨分别为二十四节气，福州有清明寒、谷雨寒之说。,,4ea8779c-c69b-47a9-aafd-a024f7ae4faa,13,天气节令
谷雨立夏，寒死老郎罢。,郎罢：是父亲的意思。唐顾况诗“囝别郎罢，心摧血下”。,,,01453a23-f82b-42b6-8cc7-d33a9b5966b4,14,天气节令
冬天寒皮，春天寒骨。,,福州的春寒往往比冬寒更冷，这样形容很亲切。,,e3d51d9b-a9ce-4a5e-8fc9-ab14d06304cd,14,天气节令
冬节是月头，棉被压铺头。,"①、冬节：即“冬至日”，是福州的传统节日，这一天福州家家户户用糯米粉团制作“罱”（糍）。

②、月头：月初。

③、棉被压铺头：棉被盖过头，形容极冷之意。

④、",根据冬至日在农历十一月或十二月的哪一段来推测该年冬季气温。,,2ae5b3ac-0408-4028-a9a0-5b642a219a56,14,天气节令
冬节是月中，无雪复无霜。,"①、复：又的意思。

②、",根据冬至日在农历十一月或十二月的哪一段来推测该年冬季气温。,,f66c5a11-a454-40c4-9630-681cf6b5908e,14,天气节令
冬节是月尾，收起犁耙去烘火。,"①、月尾：月底的意思。

②、",根据冬至日在农历十一月或十二月的哪一段来推测该年冬季气温。,,c9d7fb78-2621-4e0a-ae2d-8bd00b8b7bdb,15,天气节令
二八乱穿。,"①、二八：即“二八天”，泛指春秋两季。

②、",形容春秋两季气温变化频繁而且无序，人们的寒衣和夏服往往要随着气温变化几度替换。,,d66cb3ba-3240-42c4-961f-fed054c4f192,15,天气节令
三月三，掏扇换纃衫。,"①、掏：拿的意思。

②、齐衫：即“汗衫”，指苎麻布的衣衫，轻薄凉爽。

③、",农历三月三，福州天气转暖，怕热的人已经换夏装、摇扇子了。,,ba24a31b-fcb6-4d2e-bab5-4c833df46364,15,天气节令
夏至日出火。,日出火：形容夏日炎炎。,,,33bdeef8-8a13-4296-8a93-dfa794ffd3d1,15,天气节令
六月拍犬伓出门。,"①、拍：打的意思，此处指驱赶。

②、伓：不的方言写法。

③、",农历六月，狗都躲在家里避暑，任你踢打驱赶也不愿出门，形容福州六月烈日炎炎，这当然是夸张的说法。,,0edcdde9-b29d-4fc3-a4f1-130332f71818,16,天气节令
白露秋风下，一夜冷一夜。,,在白露这个节气过后，控制福州的北太平洋副热带高压逐渐向南退东移，北方冷空气南下，白天在太阳光照射下还觉得气温较热，到了夜间，地面的辐射热迅速向大气扩散，气温下降，昼夜温差可达十多度，所以感觉一夜比一夜凉。,,2521494c-f43f-4880-a1e1-0786266f96a4,16,天气节令
惊蛰未遘雷先发，七七四十九不见天。,"①、遘：到的意思。

②、七七四十九：虚数，多的意思。其中“四十”念合音。

③、不见天：指没有晴朗的日子。

④、",初雷一般都是出现在每年惊蛰前后，在惊蛰日前就响起春雷，说明当年暖湿空气特别活跃，预示雨季将特别长。,,9e9366b3-0c27-4757-bd9c-ca657ae6ef35,16,天气节令
初一逿雨初二晴，初三逿雨无得晴。,"①、逿：下的意思，指下雨。

②、无得晴：晴不了。

③、",正月初一下雨，初二一般就无雨，初三下起了雨，就要一连下好几天。,,410fea96-8d45-4b60-b47b-d9584355c51e,16,天气节令
春霞无出三日雨。,"①、无出：不出。

②、",春季有霞则三日之内必定要下雨。,,9fb8b328-be9a-4a59-a6ed-6a12e19232d2,17,天气节令
日头弹昼，大雨就遘。,"①、日头：太阳。

②、弹：照射。

③、昼：中午。

④、遘：到的意思。

⑤、",形容阴雨天的中午出太阳，预示大雨将至。春夏之交，中午强烈的太阳光使云层上部蒸发，而下部上升气流又较弱，二者结合，可出现云破天开，太阳直照的情形。阳光又使地面温度迅速升高，上升气流加强，云层再度弥合，形成雨水，而且往往下得更大。,,3881165b-d23f-46b3-90ac-4fe071151d11,17,天气节令
月光照滥地，罔逿罔有味。,"①、滥：湿。

②、罔·····罔·····：越·····越·····。

③、逿：下（雨）。

④、有味：有趣的意思。

⑤、",阴雨天夜里放晴，预示第二天还会继续下雨。,,db54939c-7288-4b61-98ec-7d6e347aef5b,17,天气节令
鼓山戴帽，水缸颂裙。,"①、鼓山：位于福州东郊，海拔870多米。

②、戴帽：形容云雾笼罩在山头。

③、颂：穿的意思。穿裙子形容水缸的下半截反潮。

④、",鼓山主峰上面如果有云雾和水缸反潮，说明空气中水含量高，是将要下雨的征兆。,,18734258-0d69-429f-bafc-995606c7d367,18,天气节令
火烟缠厝雨就遘。,"①、火烟：烟气。

②、厝：房子。

③、遘：到的意思。

④、",烟气不散，说明空气中水含量高，是将要下雨的征兆。,,874ba5f9-f68b-4cb2-9204-e7b0e991f979,18,天气节令
夏至乍出霉，大雨十八回。,"①、乍：才。

②、出霉：发霉。

③、",福州气候潮湿，春季室内常发霉。如果迟至夏至才发霉，说明该年霉雨季来得晚，预示夏初雨水充沛。,,44d91e4b-9ac5-436c-b2a5-bcdb94df0dcd,18,天气节令
东虹日红西虹雨。,,虹出现在东方预示晴天，出现在西方预示下雨。,,e1ffc22f-ccbf-4c98-a966-2058ff7c7908,19,天气节令
早虹雨滴滴，晚虹雨断滴。,"①、晚虹：傍晚的彩虹。

②、断滴：一滴雨都没有。

③、",雨过之后，太阳光照射在悬浮空气中的水滴上，产生的折射分解了太阳光的光谱，形成彩虹。早晨太阳在东方，虹出在西边天空，所以“早虹”说是“西虹”，傍晚太阳在西边，虹出在东方天空，“晚虹”就是“东虹”。福州的天气系统自西向东移动。早晨见西虹，说明富含水滴的降雨云系处在西边，它将继续东移，很快就带来降雨。傍晚见东虹，说明雨云已在东面，它将继续东移，本地将转晴天。,,1bc45a4f-b122-4074-a6ee-a4e5611679d7,19,天气节令
春天伲囝面，拉屎戴斗笠。,"①、伲囝面：指小孩的脸。小孩子喜怒无常，比喻春季晴雨不定。

②、",旧时设在户外的厕所多是露天的，春季乍晴乍雨，如厕时就可能突然下起雨来，戴上斗笠总是保险些。此处也有夸张之意。,,d15871f1-0ae1-4ce9-a044-d0149334f6cd,19,天气节令
快霉四月八，晏霉五月节。,"①、快霉：即霉雨季来得早。

②、四月八：即农历四月初八，传统的浴佛节。

③、宴霉：霉雨季来得晚。

④、五月节：即端午节。福州也和各地一样在这一天包粽子，赛龙舟。

⑤、",从农历四月初八到端午前后是福州的霉雨季，它是北方冷空气与南方副热带暖流互相交绥而造成的降水，气象学上称为“极锋”雨带。由于交绥双方势均力敌，温热条件差异大，拉锯于福建上空，所以造成持续的阴雨，再加上高温、高湿，贮存的东西很容易发霉。,,f6b164b4-e2ac-4e7f-811b-95cce1d9db56,20,天气节令
五月十三关老爷磨刀。,,农历五月十三是关公的生辰，每年这时候通常有暴雨，造成洪水泛滥，民间传说是关老爷磨刀的水。,,7fb04867-0ff5-44c8-bbde-c13560d4703b,20,天气节令
立夏小满，江满河满。,,从立夏到小满这一段时间是闽江流域的汛期。,,562d7349-0b44-4248-9deb-a8c965da95d4,20,天气节令
雷公先唱歌，有雨也𣍐多。,,气象学把雷雨分成锋面雷和热雷雨两类，由冷暖空气会合形成的锋面雨常是先雨后雷，持续时间长，雨量大。由局部地面受热不均形成的是热雷雨，常是先雷后雨，持续时间短，雨量小，有时地面还没湿透就雨过天晴了。,,bfcde8de-6292-4a14-9177-526133007846,21,天气节令
六月雨，𣍐过墿。,"①、六月雨，指农历六月的热雷雨，“雨”读特殊的口语音，俗写同音的“祸”字。

②、墿：路。

③、",夏天的热雷雨往往是范围有限的一阵急雨，在野外常可遇到一侧有雨，另一侧无雨的景象。,,2d34de95-915e-457a-aad4-c122d56c2a83,21,天气节令
东眨一，西眨七，南眨笊笊流，北眨无蜀滴。,"①、眨：此处指打闪电。

②、笊笊流：如笊篱漏雨般流水。

③、无蜀滴：没有一滴雨。

④、",闪电的地方就是下雷雨的地方，但超过20公里的距离，就听不到雷声了。由于福州高空盛行偏西气流，雷雨将从西南方向向朝东北方向移动，所以可以从闪电的方向来估计雨情：东面打闪有一分雨，西面打闪有七分雨，南面打闪大雨如注，北面打闪则可能根本没雨。,,6b488b84-d810-4fdd-9821-8f2da959057c,21,天气节令
雷拍夏，无水洗犁耙。,,春季无雷，立夏以后才闻雷声，预示要干旱。,,29be3fcd-6023-46e3-a258-784882a442ef,22,天气节令
芒种降雨火烧街，夏至降雨滥蒲蒲。,"①、雨：读特殊的口语音，俗写同音的“祸”字，与28条“雨”同义。

②、火烧街：形容干燥炎热。

③、滥蒲蒲：湿淋淋。

④、",芒种日下雨预示当年干旱炎热，夏至日下雨预示当年雨水充沛。,,6cb0d6cb-9805-4055-939a-9ebb8b7ae7a1,22,天气节令
热过头，雹拍头。,"①、拍：打的意思。

②、",夏天落雹之前，往往特别闷热。,,2fd93765-5544-484a-af5f-5d2531450cbb,22,天气节令
有雨天边亮，无雨头顶光。,"①、光：亮的意思。

②、",天边亮，头顶上黑，说明雨云集中在头顶上，头顶上亮，雨云集中在远处，此处一时还不会下雨。,,46e0ea16-d3dc-4211-ade1-5221a29f2e8d,22,天气节令
六月颱，无米筛。,"①、颱：指“风颱”，即台风。

②、",农历六月的台风对即将收割的早稻造成严重损害，甚至可能颗粒无收，使农民无米可筛。,,010b6867-513f-4f18-84cb-d9f3b2b96982,23,天气节令
六月防初，七月防半。,"①、防：防御。

②、半：半月，指中旬。

③、",农历六月初早稻尚未收割，七月中旬晚稻苗刚刚插下，这两段时间如果刮台风将造成很大损失。,,eaee48cd-ed65-4d60-92ef-582dc2e48d26,23,天气节令
七八北云拍风颱。,"①、七八：指农历七月、八月。

②、拍风颱：指刮台风。

③、",农历七八月间，北面出现积云是台风将至的征兆。,,5f0514fc-797e-4040-8e8f-dfd4dde58d79,23,天气节令
六月风颱生九囝，七月风颱无回南。,"①、风颱：指台风。

②、囝：福州人称儿子为“囝”。这里特指“风颱囝”，即强度小的台风。

③、回南：台风是一个逆时针的气旋，如果台风中心的登陆点在福州北面，前锋袭来时福州刮西北风，台风中心过后，刮南风并夹暴雨，福州传统说法是此时台风“回南”了。

④、",农历六月刮台风，以后会陆续有台风天气。农历七月的台风没有“回南”的过程，因为这一段时间的台风一般不在福州以北登陆。,,fec48a26-d638-47ef-9430-0944c175d57f,23,天气节令
风颱不大，回南倒大。,"①、倒：反而。

②",、“回南”见上条。台风“回南”时暴雨成灾，其凶险往往更胜于台风登陆。,,af8d61d4-c9b3-4f50-bd8d-235fd97213db,24,天气节令
蜀雷镇九颱。,"①、蜀：福州话“一”。

②、颱：指“风颱”，即台风。

③",、台风“回南”时带来暴雨，雷声响过之后，风雨讯速减弱。,,99b75ce6-9184-4e56-aeb5-bafde34d4c8f,24,天气节令
南风发暴，鲜鱼无对倒。,"①、发暴：刮北风。“发”读特殊口语音，俗写近音的“勃”字。

②、无对倒：（捕到的鲜鱼多得）没地方倒。“对”指地方，处所。

③、",海上乱大风，鱼出于生理本能会迅速地集游，形成“十尺水，八尺鱼”的密集鱼群，因此渔民在大风前后抓紧捕捞往往大有收获。,,d4cd0e37-1884-4f76-b886-7f5329449fd8,24,天气节令
六月初三雨，七月多晡时。,"①、晡时：也说“晡时雨”，即雷阵雨。

②、",农历六月初三这一天如果下雨，预示当年七月雷阵雨频繁。,,0c6a8a19-d789-4a21-9d25-96803bd3b946,25,天气节令
有元宵，无中秋；有中秋，无元宵。,,如果元宵节能见到圆月，当年的仲秋之夜必是阴或雨，反之亦然。其实这条谚语反映的事实是福州的天气晴好与阴雨参半。只是在元宵和仲秋这两个传统的赏月佳节，人们特别注意月亮。,,73d77d15-ed11-4b01-9016-47cea5a971eb,25,天气节令
冬节冥，夏至日。,"①、冬节：即冬至日，福州传统节日之一。

②、冥：福州话“夜”的意思。

③、",冬至这天的夜特别长，夏至这天的日特别长。,,ee554559-a428-4c27-89e6-66246c5207ea,25,日月山川
八月日无晡，无用诸娘满灶摸。,"①、日无晡：指一天中没有傍晚这一段时间，指天黑得很快。

②、晡：福州话“晚”的意思，此处指傍晚。

③、诸娘：指女人的意思。

④、满灶摸：形容摸黑做晚饭。",,,55add6d6-8a1e-443d-8400-d0e6450b9fc3,26,日月山川
春分秋分，日夜平分。,,春分、秋分这两天日夜同样长。,,b1ea0e54-59d9-43a5-9d7f-66d0df0df34a,26,日月山川
初三初四，月牙起蒂。,"①、起蒂：露出一点儿。

②、初三、初四月牙出现，后渐渐变圆。",初三、初四月牙出现，后渐渐变圆。,,58e35a61-949e-4323-a43f-afad8b77b816,26,日月山川
十七十八，月出目瞌。,目瞌：眼睛闭上，指睡着。,,,a0d3bf82-939a-423d-9e71-91ea83c2992a,26,日月山川
二十弹弹，月出半冥。, ,,,4fb69935-4e84-4d10-8ae5-3cfbcef5da18,27,日月山川
六月初一搁罗天，七月初一去半年。,"①、搁罗（音）：指差得远。

②、六月时感觉还是年初，到了七月猛然觉得已是下半年。",六月时感觉还是年初，到了七月猛然觉得已是下半年。,,a0d598de-8eaa-4d0d-8975-befd81ae939e,27,日月山川
燕来三月三，燕去七月半。,,七月半是中元节，是福州最重要的传统节日之一，俗称做“半段”，各家具酒馔祭祖，焚冥衣纸钱，大宴宾客，此风乡村尤甚。“半”读阴平调。,,13a2066a-3f46-4202-9e39-982dbf726781,27,日月山川
初一十五，食昼搭渡。,"①、食昼：吃午饭（的时候）。

②、搭渡：搭乘渡船。

③、初一、十五这两天中午时潮水最高，乘渡船方便。",初一、十五这两天中午时潮水最高，乘渡船方便。,,39d99b3a-1bca-49ec-b51e-a4c9690fcd74,27,日月山川
初三十八大。,,初三和十八这两天潮水最大。,,b7d95a65-0b9b-4c2f-ae7d-03aa8170aba2,27,日月山川
鸡上瓦，猫钻洞，地牛拆厝弄。,"①、地牛：传说地下的神牛扛着大地，称地牛。地牛活动，引起地震。

②、厝弄：旧式平房的外墙与内墙之间的空隙，此处代指房屋。",,,c28f64bf-bb29-4463-abff-15555d6716a6,28,日月山川
井水变甜，地牛转肩。,"①、地牛转肩：形容地震，传说我们的大地是被地牛扛着，转肩是地震的原因。

②、转肩：挑担子或扛重物时，因担子太重换个肩膀。",,,e1abc60d-04d2-4ae0-83c1-b40664e32cee,28,日月山川
鼓山汝莫传，去𠲥汝莫怨。,"①、鼓山：在福州东郊，海拔870多米。山上有涌泉寺、喝水岩诸景。

②、汝：你。

③、莫传：不要传说（它迷人）。

④、礼：动态助词：了。

⑤、",徒步登鼓山，从山脚走到鼓山涌泉寺要登两千多级石阶，游客往往觉得十分辛苦。,,d434cd60-3bdd-4414-bc17-847b8f235ed0,28,日月山川
延平水，鼓山平。,"①、延平：指的是旧延平府，今天的南平市延平区，在福州北面，闽江上游。

②、鼓山平：与鼓山一样高。

③、",形容南平所处的地理位置高，不是精确计算的结果。,,c5ebd818-2363-4724-ac66-93137f2719e8,29,日月山川
一旗，二鼓，三高，四虎。,,指福州郊外的旗山、鼓山、高盖山、虎头山，按高度排顺序，但一般城里人熟悉的只有其中的鼓山。,,e15b9eee-59fe-48f2-b22e-309723ee0e8b,29,日月山川
三山藏，三山现，三山看不见。,,"福州别名“三山”，指市区内的“三山现（于山又叫九仙山、乌山又叫乌石山、屏山又叫越王山）。后又附会出“三山藏”（指罗山、闽山又叫玉尺山、冶山又叫泉山）与“三山看不见”（指丁戊山又叫嵩山、钟山、龙山又叫灵山或芝山）。

“三山藏”与“三山看不见”实际上是“三山现”的支脉衍生的，其中，罗山、丁戊山是于山的支脉，闽山、钟山是乌山的支脉，冶山、龙山或芝山是屏山的支脉。龙山又名灵山，与芝山实际上是一座山。

所谓“三山藏”实际上是露出地面的大块岩石，不知何代的好事者镌以山名，现在这些大块岩石与题刻还在：罗山在法海寺内，闽山在三坊七巷泔液境旁，冶山在中山大院内。

所谓“三山看不见”的民间说法是“山”潜在井底，实际上经历代铲凿，至宋代梁克家作《三山志》时便“微见岗阜”，到了如今更是湮没在坊间巷里，踪影皆无了：丁戊山有题刻在大觉寺内，钟山在元帅路与达明路一带，如今仍有大中寺巷的地名，龙山巷地名还在，芝山则在开元寺内。",,3fe53398-a84d-44a8-97a1-48f62d5041e8,29,日月山川
猫无冥，犬无昼。,"①、冥：晚饭

②、昼：午饭

③、猫吃饱了晚餐，夜间就不会积极地捕鼠。看门狗白天休息，可以自行外出觅食。",猫吃饱了晚餐，夜间就不会积极地捕鼠。看门狗白天休息，可以自行外出觅食。,,6b0dbd9c-e5bc-4404-96d9-efc3a425cf48,30,猫犬蛇鼠
猫无埋，犬无吊。,"①、猫无埋：指死猫不埋入土中。

②、犬无吊：指死狗不吊起来。

③、福州郊外常可见树上吊着死猫，据说这样可以防止死猫成精作祟。",福州郊外常可见树上吊着死猫，据说这样可以防止死猫成精作祟。,,2fbfbcf2-a112-423b-a434-4b884b84a813,30,猫犬蛇鼠
猫投穷，犬投富。,"①、投：投靠。

②、穷、富：指穷户、富户。

③、穷人家老鼠多，猫可大显威风。富人家怕盗贼，需要狗守护。",穷人家老鼠多，猫可大显威风。富人家怕盗贼，需要狗守护。,,459d6fe5-ebb3-40f5-b9d7-e14167fd94dd,30,猫犬蛇鼠
悻悻犬，咬死侬。,"①、悻悻犬：指不爱吠叫的狗。

②、叫的狗不咬人，咬人的狗不叫。",叫的狗不咬人，咬人的狗不叫。,,8f7e5dbd-c18c-4e10-85bb-e0332b1148a6,30,猫犬蛇鼠
回头鼠，咬死汝。,回头鼠：被赶得无路可逃，回头作拼死一博的老鼠。,,,ac021621-1964-4787-b44f-a0bb0846bfa5,31,猫犬蛇鼠
七嘟八吊九横墿。,"①、七、八、九：指农历月份。

②、嘟（音）：同“挂”义，指蛇倒挂在树上。

③、横墿：横在路上。

",④、闽地多蛇，此谚说在蛇在不同月份的活动规律。,,347d7daa-a58d-4879-9e18-5cd34199e283,31,猫犬蛇鼠
走蛇走弯弯，走虎走落山。,"①、走：逃。

②、走弯弯：绕着弯逃跑。

③、落山：指下山。

④、蛇沿曲线行进速度慢。虎上山快，下山慢。",蛇沿曲线行进速度慢。虎上山快，下山慢。,,10b61fc3-e91e-422d-b030-89910ba1289f,31,猫犬蛇鼠
抱其猫，𣍐衔鼠。,"①、抱其：抱来的，指借来的。

②、不衔鼠：不捉老鼠。",,,b20eb58b-8edd-42d0-9722-d90f59a5a875,31,猫犬蛇鼠
猫三犬四猪母五。,"①、三、四、五：指孕期月数。

②、猪母：指母猪。",,,0606b360-2667-41f1-9867-36041ef584c1,32,猫犬蛇鼠
斤鸡马蹄鳖，好食无乇夹。,"①、斤鸡：约一斤重的鸡。

②、马蹄鳖：马蹄大小的甲鱼。

③、好食：好吃。

④、无乇夹：盘中没多少东西，几筷子就没东西夹了。

⑤、乇：福州方言，东西的意思。",,,e5cb0e3d-3b9b-4d12-850a-c2d82fdbc2b6,32,物产美食
山𠲥麂鹿獐，海𠲥马鲛鲳。,"①、𠲥：方言俗字，处所助词，本字是“里”。

②、马鲛：指马鲛鱼。
","
③、这些是一般老百姓心目中最鲜美的山珍海味。",,9699eb55-f2a8-4ef9-8c55-ee01b9deefb6,32,物产美食
春鳗冬带夏白力，好食当𣍐戴。,"①、冬带：冬季的带鱼。

②、好食：好吃，味道鲜美。

③、当不戴：受不了，此处指令人垂涎。

",④、春季是海鳗鱼最肥美的时候，而带鱼则是冬季最佳。自北向南适温洄游的带鱼群大约在每年的12月上旬进入闽东鱼场，形成冬汛。,,f6e2debd-4c1c-488c-b552-bab9ae73a3d2,32,物产美食
鳗鱼头，鸡腿柄。,,鳗鱼的头部肉厚味美，以鸡腿为喻。,,b7f05458-c9c9-4618-96ae-98483c357ea8,33,物产美食
白露鳀，无再来。,白露鳀：鳀鱼肉厚多油脂，白露前后最肥美。,,,cdaa61f7-b16e-4796-bced-70e486eb0aed,33,物产美食
颂棉袄食蟟囝，褪𩩍𩩍食蛤。,"①、颂：福州话“穿”的意思。

②、食：吃。

③、蟟囝：蚬子。

④、褪𩩍𩩍：赤膊。

⑤、蛤：花蛤，一种海产的薄壳贝类。
",蚬子和花蛤都是小百姓的当家菜，蚬子在冬季较肥，而夏季则数花蛤价廉物美。,,2411ac14-23fb-4ebf-a892-017862030112,33,物产美食
当被单，买泛三。,"①、当：曲当。

②、泛三：农历三月大量上市的大黄鱼，俗写同音的“横三”。

③、",大黄鱼是集群洄游性鱼类，农历三月随着海水水温上升，鱼群从东南向西北方向移动，在闽东鱼场形成春汛。往年这个季节，大量上市的大黄鱼味美价廉，穷百姓甚至不惜当了被单换几个钱一快朵颐。,,7c856928-b389-47d6-970d-e5d1a8bb66f6,33,物产美食
三月白力小鲥翅。,,白力鱼体扁平，味鲜而刺多，农历三月时最肥美，不亚于名贵的的鲥鱼。,,f9de67eb-d414-4cda-8bcf-c900e322cf47,34,物产美食
六月鲎，爬上灶。,,农历六月是鲎大量上市的时节。,,5ca2c110-0612-4dbb-a80e-982d980cfc48,34,物产美食
大暑荔枝小暑鲎。,,小暑前后是鲎的上市期，大暑期荔枝的成熟季节。,,aa7f031b-2512-4e48-968f-f7b4d4458f88,34,物产美食
桃三李四橄榄七。,,桃树、李树、橄榄树从下种到长成挂果分别要经过三年、四年、七年。,,e8db9f6b-dc10-4ee1-8276-f6262afcf906,34,物产美食
热𥻵冻粽隔冥芋卵，圆梨扁柿病屎西瓜。,"①、𥻵：本字“糍”，一种甜食，煮熟的汤圆滚上芝麻、豆粉、糖等。

②、冻：凉。

③、隔冥：隔夜。

④、芋卵：鸡蛋大小的芋头。

⑤、病屎：发育不良的。

⑥、",吃糍趁热，得其香软。凉粽子则柔韧耐嚼，咀嚼生香。煮熟的芋头隔夜再吃更入味且口感好。凭外观挑选水果，梨要圆的，柿子要扁的，发育不良的西瓜往往熟得透。信不信由你。,,4f36f5e8-4bd0-4960-8d91-a955f47dde05,34,物产美食
呆桃暮李，好食无对讲起。,"①、呆：坏。

②、暮（音）：烂的

③、好食：好吃。

④、无对讲起：（好吃得）不知从何说起，无法形容。“对”（音）：地方，处所。

⑤、",不怕腹泻，不妨试试烂桃烂李子的滋味如何。,,ecfc04d7-daea-4c18-8b6c-d209d5510dd8,35,物产美食
芋头果子尾。,"①、头：指新上市时。

②、果子：水果。

③、尾：指季末。

④、",新上市的芋头鲜嫩绵软，而季节末的水果熟透香甜。,,08ef2d52-1362-49a9-bb7c-baac7bbeef8b,35,物产美食
穷侬无病就是富，富侬无病就是仙。,"①、侬：人的意思。穷侬、富侬就是穷人、富人。

②、",穷而健康便可满足，富裕的人再有一个健康的身体就和神仙一样快活了。,,2809782a-6c3b-497a-874b-152d852b3a82,36,养生健康
饭顿讨得着，固赢食补药。,"①、饭顿：指一日三餐。

②、讨得着：饮食得当。

③、固赢：更胜于。",,,fd573e13-8ab4-47d7-9ca6-76fe260db3be,36,养生健康
头过参，二过茶。,,第一过的参汤药效高，第二过的茶水更浓。,,4167e05f-060d-4dfb-94c8-70fb3e178b14,36,养生健康
葱补丹田麦补脾。,"①、葱汤麦饭：指穷人家以葱作菜，以麦作饭。

②、",“你算哪根葱”，这是贬人的话，意为你算老几。可是葱虽小，它的用途却很广：烧菜作饭它是必备的佐料；葱有辛辣味，能增进食欲杀菌祛病；它还有药用，能调节血液的构成和血压，所以不要嫌弃葱。,,d46d4c24-2f16-48ff-89f4-bbfff8b7843d,36,养生健康
伲囝郎，扛饭甑。,"①、伲囝郎：十多岁的孩子。

②、扛饭甑：扛走蒸饭的蒸茏，形容饭量惊人。甑：指蒸茏。",,,5fe7e183-a511-422f-a586-1b53695c07a0,36,养生健康
有钱难买六月泻。,"①、泻：拉肚子。

②、",俗以为暑天腹泻有助于清火，西医不以为然。,,bf0d2131-706c-4cec-9db6-5535999302d4,37,养生健康
咸盐若无虫，世间也无侬。,"①、咸盐：泛指用盐腌制的食品、调味品。盐：动词，指以盐腌渍。

②、若：如果。

③、侬：人。

④、",传统的腌渍发酵工艺不太讲究卫生消毒，酱缸生蛆视为正常现象。俗话说“眼不见为净”,,440b73d0-e5ef-43bc-99d3-fb36e6d0c8a4,37,养生健康
拉渣食，拉渣肥。,"①、拉渣：肮脏的意思。

②、食：吃、饮食。

③、肥：肥胖。

④、",北方有“不干不净，吃了没病”的说法，老百姓的经验大体相同。,,1b454f6f-2873-4c7f-9509-5451ef510bdb,37,养生健康
